split,drift_start_year,old_window,new_window,fs_variant,method,selected_component,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_6+10,2005,1999-2004,2005-2014,no_fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.39000000,0.71117974,0.84450373,0.27430294,0.19426565,0.57022964,0.71960619,0.36327345,0.57839721,0.22033898,0.11673699,0.10491162,0.10471030,0.63672655,0.42160279
split_6+10,2005,1999-2004,2005-2014,fs,New_under,New_under,1.00000000,0.18000000,0.72245324,0.85213816,0.28949616,0.22050562,0.55743906,0.70876294,0.33832335,0.54703833,0.25298507,0.13808267,0.08153458,0.08170071,0.66167665,0.45296167
split_6+10,2005,1999-2004,2005-2014,fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.49000000,0.71791596,0.83139520,0.28297162,0.19350474,0.55610269,0.67433314,0.33832335,0.49825784,0.24318508,0.12006717,0.08593305,0.08736974,0.66167665,0.50174216
split_6+10,2005,1999-2004,2005-2014,fs,Equal6,Old3/New3 equal weight,0.50000000,0.43000000,0.69659110,0.79109095,0.25197505,0.14542936,0.52469141,0.57772582,0.30239521,0.36585366,0.21596579,0.09075194,0.08959844,0.08770321,0.69760479,0.63414634
split_6+10,2005,1999-2004,2005-2014,fs,ValBestSingle_F1,New_under,,0.18000000,0.72245324,0.85213816,0.28949616,0.22050562,0.55743906,0.70876294,0.33832335,0.54703833,0.25298507,0.13808267,0.08153458,0.08170071,0.66167665,0.45296167
split_6+10,2005,1999-2004,2005-2014,fs,ValBestSingle_AUC,New_under,,0.18000000,0.72245324,0.85213816,0.28949616,0.22050562,0.55743906,0.70876294,0.33832335,0.54703833,0.25298507,0.13808267,0.08153458,0.08170071,0.66167665,0.45296167
split_6+10,2005,1999-2004,2005-2014,fs,DAWCE_F1,Old3/New3 w_new=1.00,1.00000000,0.49000000,0.71791596,0.83139520,0.28297162,0.19350474,0.55610269,0.67433314,0.33832335,0.49825784,0.24318508,0.12006717,0.08593305,0.08736974,0.66167665,0.50174216
split_6+10,2005,1999-2004,2005-2014,fs,DAWCE_AUC,Old3/New3 w_new=0.95,0.95000000,0.46000000,0.71815309,0.83138096,0.27903352,0.18860992,0.56761642,0.69517072,0.35728543,0.53658537,0.22890026,0.11441308,0.09823247,0.09937474,0.64271457,0.46341463
split_7+9,2006,1999-2005,2006-2014,no_fs,New_under,New_under,1.00000000,0.12000000,0.72786291,0.87310218,0.29292543,0.22709677,0.57935643,0.74677165,0.37220603,0.61324042,0.24148802,0.13935075,0.09820408,0.09062109,0.62779397,0.38675958
split_7+9,2006,1999-2005,2006-2014,no_fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.40000000,0.71367264,0.84837236,0.27864798,0.20499680,0.54779374,0.71113708,0.32847425,0.55749129,0.24194703,0.12558870,0.08644898,0.09287203,0.67152575,0.44250871
